episodio,recompensa,sucesso,epsilon
142,192.00000000000006,1,0.4883155414435353
143,-171.01428863092815,1,0.4858739637363176
144,-12097.63523262102,0,0.483444593917636
145,-13432.472468797223,0,0.4810273709480478
146,-324.7983051151763,1,0.47862223409330756
147,-13045.656854249493,0,0.47622912292284103
148,-2026.553834153367,1,0.4738479773082268
149,-827.5292318766569,1,0.47147873742168567
150,381.5296461204668,1,0.46912134373457726
151,-236.2678625053627,1,0.46677573701590436
152,-10920.491756992567,0,0.46444185833082485
153,-9840.733384694431,1,0.46211964903917074
154,-12469.629256534088,0,0.4598090507939749
155,-13271.202941017462,0,0.457510005540005
156,-12158.872985638503,0,0.45522245551230495
157,-12664.466088508176,0,0.4529463432347434
158,472.0,1,0.4506816115185697
159,-121.30952988028514,1,0.4484282034609769
160,-548.3795006481866,1,0.446186062443672
161,-11926.838783895642,0,0.4439551321314536
162,486.0,1,0.4417353564707963
163,-1723.9545689089086,1,0.43952667968844233
164,-1259.5851262523595,1,0.43732904629000013
165,-637.6549906867904,1,0.4351424010585501
166,-2103.941227268147,1,0.43296668905325736
167,-13331.560911085413,0,0.43080185560799106
168,-364.0000000000001,1,0.4286478463299511
169,-3668.3011335174415,1,0.42650460709830135
170,-4324.301133517441,1,0.42437208406280985
171,-1064.9634309426337,1,0.4222502236424958
172,266.23448553724734,1,0.42013897252428334
173,367.732137494637,1,0.4180382776616619
174,370.0,1,0.4159480862733536
175,-136.79784952452337,1,0.41386834584198684
176,-12311.037602960994,0,0.4117990041127769
177,275.59797974644664,1,0.40974000909221303
178,-206.48232638744014,1,0.40769130904675194
179,-6746.797849524526,1,0.40565285250151817
180,236.08318915758463,1,0.4036245882390106
181,-13138.530107706642,0,0.4016064652978155
182,360.1245154965971,1,0.3995984329713264
183,-12649.373745608491,0,0.3976004408064698
184,63.78488797889963,1,0.39561243860243744
185,-114.13657560107731,1,0.3936343764094253
186,-12698.664112851133,0,0.39166620452737816
187,247.293765408777,1,0.3897078735047413
188,-594.7397083745309,1,0.3877593341372176
189,-3274.377223398316,1,0.3858205374665315
190,430.4390889145858,1,0.38389143477919885
