episodio,recompensa,sucesso,epsilon
577,1044.388578017961,1,0.09153970651645797
578,941.1276253029822,1,0.09108200798387568
579,1037.5225774829855,1,0.0906265979439563
580,-1753.6738247007097,1,0.09017346495423652
581,1053.7230589874905,1,0.08972259762946533
582,1010.9341649025257,1,0.089273984641318
583,1009.3112887414927,1,0.0888276147181114
584,1054.4585609973064,1,0.08838347664452084
585,1017.6005494464026,1,0.08794155926129824
586,1064.4014581273466,1,0.08750185146499175
587,1023.6,1,0.08706434220766679
588,-34.13346173608079,1,0.08662902049662846
589,-1836.70490243203,1,0.08619587539414532
590,1047.6230589874906,1,0.08576489601717459
591,1032.8024967590666,1,0.08533607153708872
592,1022.3,1,0.08490939117940327
593,-648.7578643762679,1,0.08448484422350626
594,1021.4832691319598,1,0.08406242000238873
595,1035.716584885466,1,0.08364210790237678
596,1047.1792206135785,1,0.0832238973628649
597,929.1060973342837,1,0.08280777787605056
598,1022.8977222864644,1,0.08239373898667031
599,617.5261752992874,1,0.08198177029173696
600,1035.6014581273464,1,0.08157186144027828
601,1052.087798753429,1,0.0811640021330769
602,1006.0112887414928,1,0.08075818212241151
603,1040.3664818918646,1,0.08035439121179945
604,1001.2498204307084,1,0.07995261925574046
605,825.3155281280883,1,0.07955285615946175
606,1050.7232526704263,1,0.07915509187866444
607,1021.8623792124927,1,0.07875931641927113
608,1029.5891053163818,1,0.07836551983717477
609,1059.1,1,0.07797369223798889
610,997.8555127546399,1,0.07758382377679894
611,148.1156211871638,1,0.07719590465791494
612,1041.1053761886915,1,0.07680992513462537
613,1050.9578404875463,1,0.07642587550895225
614,1046.3862138431184,1,0.07604374613140748
615,1057.0578404875464,1,0.07566352740075044
616,1042.4232526704263,1,0.07528520976374668
617,-918.9000000000001,1,0.07490878371492794
618,1048.323881554251,1,0.0745342397963533
619,992.0,1,0.07416156859737154
620,1014.0,1,0.07379076075438468
621,1062.882439194738,1,0.07342180695061275
622,593.4419413859205,1,0.07305469791585968
623,1022.8977222864644,1,0.07268942442628039
624,1034.8079728939615,1,0.07232597730414898
625,1017.6553390593274,1,0.07196434741762824
626,1031.3647267862343,1,0.0716045256805401
627,1054.082439194738,1,0.0712465030521374
628,989.709518948453,1,0.0708902705368767
629,1031.4180165558726,1,0.07053581918419231
630,925.924865872714,1,0.07018314008827135
631,1040.3647321898295,1,0.06983222438783
632,1034.1083203206317,1,0.06948306326589085
633,552.6999999999998,1,0.0691356479495614
634,1033.123499553598,1,0.06878996970981359
635,372.9469318296325,1,0.06844601986126451
636,1032.578344238091,1,0.06810378976195819
637,-704.6999999999982,1,0.0677632708131484
638,1037.4,1,0.06742445445908266
639,1003.62775637732,1,0.06708733218678724
640,1031.5387818865997,1,0.0667518955258533
641,858.9116263352132,1,0.06641813604822402
642,439.17747210701737,1,0.0660860453679829
643,1026.4920240520264,1,0.06575561514114299
644,-496.64305849578886,1,0.06542683706543727
645,1049.4053761886914,1,0.06509970288011008
646,1021.7200187265877,1,0.06477420436570952
647,1044.9189802081432,1,0.06445033334388098
648,1040.3769203083566,1,0.06412808167716157
649,1028.4060973342837,1,0.06380744126877576
650,887.3852927038918,1,0.06348840406243188
651,1025.0977222864644,1,0.06317096204211972
652,779.8042372120597,1,0.06285510723190912
